sk_movie_review_id,sk_movie_id,nome,nota,comentario
a9605da4b01e5f61d0623ddf0ff189de61e1ddd9dbddd30213ed609c2bbaf54e,48767763d50f8bdac4e2c2af298a83562e4f0031de6d2446ccb10bac86d8eacc,Henrique Carvalho,9.8,"Adorei cada minuto, uma experiência inesquecível."
a8e08425791b3b5d7be3c73842e2ccf747d274baf2819ace31081e2853c5ebda,f74334b36599b97ff4eb7fd0bb76d946b9df5e711062b73885f742fec7c1c9f7,Lucas Silva,2.4,Horrível! Perda de tempo.
4bf79b3c90409e763565e1dc8eb28462ba895bfaf1bbe2acd2403f194fab1701,7f81b30a8987982c36276f599aec2e07bceecd2c7bfd68b2136fe6bfbfa500c5,Gabriela Cardoso,7.7,"Ótimo entretenimento, não decepciona."
cec2a79232211ff5ddfdb556621b231945be7581ba22198cafb4d55d161eb518,178c26b7c844953dbe95a84c082cdf6de1a0b351c9510a9e72128343d710eb7a,Ricardo Silva,9.7,"Obra-prima do cinema, simplesmente espetacular."
1661c75fe1a82f89e4a6805ca5a05c6df14a9f6f71a3b1e6338efac96ba24f53,68af001320449f361da2d2d05ce5de85ef7783002874ee7e8fb1b1483f1ecc6e,Daniel Carvalho,4.4,"Decepcionante, esperava muito mais."
a91daf1cb1321971743dfff5df55f9d048e5c025bf5358005a7b3b7d994d8e0a,0847350a950d3b125ad569d56e42516b59fcb99c9a3def09f57a6c47b8cf4993,Pedro Araújo,9.8,"Obra-prima do cinema, simplesmente espetacular."
9e7e446d8bc5c5f720eb4fef0042aa1190aa22fed3020c37030fb9c7d299f4dc,d4cce194402201e47de8103c1c50e562040b2621211135b74322cae9984e2cad,Paulo Reis,9.0,Excepcional! História envolvente e atuações impecáveis.
bc0a3ab2c8db81c60d92411b0cb4f29adcc29ccb67fb1697f1d3869aa2f2d484,fb319744be713014f600050ff47e4007fa7f5b8f11d3b91e36154c50ae173537,Carolina Dias,1.8,"Terrível, um dos piores que já vi."
b29712f20e5342cd77df8041c975187bb553713522eef6ffcf7c4729bf466c60,de8e27c3b235151f44d670f7bf2ba2e4b0e2e977a0e6796754c782062cda5beb,Tatiana Castro,1.9,"Que filme ruim, não assistam."
f0a453b850afcd0a10246ca66705168972812e5e463bbd0b3de3f48f47eb52d4,c6acc8bf66d5a6c9979c8d66e1249a4435b55f06fc7915d1baf299c5ca48d103,Leonardo Ribeiro,6.8,"Aceitável, mas esperava mais."
84f98e41b460e3e7b384428506a3a63052b4224d270cabd747ec9e63d9a16bc7,6a17b6cd6f994809941153e4779a5212896510f9c1b62067a631225ddc2a5d9e,Aline Teixeira,8.3,"Ótimo entretenimento, não decepciona."
7fba25914d78d5745f00abb7dce47c00dbf9ef1f10df9a61b7ac1cc976d373ef,2b8bd50cdf2660571d745cb2825ca367b91901b8d15d5ebc96ff80cf58dc96c6,Marcelo Lima,9.0,"Adorei cada minuto, uma experiência inesquecível."
8c822608ae01389c1fcb5dda385e00453a6b2beb9662722ee99c9799963c3475,dc3b7e00b8ab54c46f9b10ab0374e7b52212312b5c9de69f8003204469d8015f,Luciana Costa,9.2,Perfeito! Um dos melhores filmes que já vi.
3bae7d04b64fa1d839fc986828815f8a21abc7ce4c10a006531e496e46ede8c5,ce200b7fb08f95e3e38686cd9cf6e16e7812127fad2bc988496bab4bac1d8b81,João Ribeiro,9.1,Perfeito! Um dos melhores filmes que já vi.
